,text,label
0,first negative reactions to  pirates of the caribbean   at cinemacon   the walt disney studios unveiled the fourth installment in their  pirates of the caribbean  franchise  dead men tell no tales  wednesday night at cinemacon in las vegas  initial reactions from those in attendance including press theater owners and exhibitors were largely negative  condemning a return to form for the franchise and the awful vfx  official reviews are under embargo until may   the swashbuckling film sees the return of johnny depp as captain jack sparrow and geoffrey rush as barbossa and introduces a new young cast including brenton thwaites and kaya scodelario  javier bardem plays a ghostly villain with a vengeance as they all search for the trident of poseidon on the high seas  orlando bloom also returns as will sparrow who hasn t been in a  pirates  film since  s  at world s end    dead men tell no tales  is the first  pirates  film since  s  on stranger tides  and the first to be directed by joachim r nning and espen sandberg  to date the franchise has grossed over    billion worldwide for the studio and there is some pressure on this fourth film to continue the enormous successes of the previous films while also redeeming its lagging reputation  ,0
1,sean spicer tells reporter to  stop shaking your head   white house press secretary sean spicer told a reporter to  stop shaking your head  while answering an african american reporter s question on tuesday  spicer  clearly enraged by april ryan  the washington bureau chief for american urban radio networks  shocked the entire white house press corps when he told her  that is not the proper way to show respect to a man in authority   a cacophony of remarks and questions ensued  spicer added   some people just didn t get proper home training  it s probably a cultural thing  she needs to look to condoleeza rice for a good role model  now  does anyone else have a question   as the chaos in the briefing room continued  spicer closed his folder and walked out of the room  with the lectern now empty  confused and surprised members of the press corp slowly filtered out of the room   as of press time  calls to the white house press office were not returned ,0
2,brazil decisively beats paraguay to qualify for the  world cup  the tight friendship and aggressive play of brazil s coutinho and neymar played a key role in brazil s   win over paraguay on tuesday   as a result of the win and peru s stunning win over uruguay  brazil has become the first team to qualify for the  world cup and is guaranteed a spot in russia   coutinho and neymar made a pact before the paraguay game that they would bet their famous friendship on winning the game  and knowing how much they value each other s friendship  the win was almost a foregone conclusion ,0
3, seemingly reversing course after a period of reflection  wilfried zaha has decided to rejoin the english national football team  that s soccer for you americans   initially criticized for holding the team  hostage  whilst he debated joining the national team of the country of his both  ivory coast  zaha has decided to go back to representing his adopted nation  athletes making decisions about which nation they would like to represent is nothing new  and zaha is simply the latest amongst thousands of athletes to make a somewhat difficult decision about which nation to represent  zaha will be a welcome re addition to the english national football team  ,0
4,first on cnn  border wall will cost much less than anticipated due to cheap labor    washington  cnn  the trump administration has asked for just   million of funding to cover the first  miles of border wall   this first section includes replacing some existing fencing that is deteriorating   justification documents from the department of homeland security specify the exact area covered by the first wall  and also specifies the use of undocumented immigrant labor to accomplish the task    the president realizes that he can t just round up and deport every undocumented immigrant in the country   said press secretary sean spicer during his daily address    so instead he is putting them to work   they get an income  and we get a wall   it s a win win for everybody   spicer said ,0
5,melania trump hires angelina jolie as her communications director    first lady melania trump has hired a well known actress and advocate for human rights as a member of her white house communications staff for her east wing team   actress angelia jolie will serve as communications director for the first lady  the white house announced this monday   jolie has been an international advocate of human right s and children s issues in addition to her well known roles as an actress    it gives us great pleasure to hire angelina in this new role   remarked president donald trump    i know angelina will do a good job communicating everything that comes out of the office of the first lady  who is doing a tremendous job by the way   remarked trump   jolie is well known for her acting and humanitarian efforts  but recently has been in the news because of a split with her husband  brad pitt ,0
6,china s tencent begins slow takeover of tesla  china s tencent spent    billion to begin ownership of electric carmaker tesla  tencent is makes mobile apps for gaming and online cloud storage  but apparently has made its way to the automobile industry  though tesla claimed the large sale of their stock to tencent was for a passive stake  tencent could shortly buy toward a larger claim in the company  in spite of this  shares in tesla rose slightly in early trading ,0
7,london stock exchange deutsche boerse deal blocked by eu   eu regulators have blocked london stock exchange s   merger with german stock exchange deutsche boerse  the european commission said the deal would have been a moral outrage  the merger would have combined europe s two largest stock exchange operators  the deal was nixed at the last minute due to deutche boerse s involvement and subsequent purchase of a firm called igotchu enterprises  this firm was found to have been heavily involved in the elephant tusk trade and the sale of counterfeit pokemon items  igotchu enterprises coo beyonce stated it was disappointing that past transgressions have caused the blockage of this deal  margrethe vestager the commissioner in charge of competition policy said   elephant tusks and counterfeit pokemon items  really  who does that  this is appalling on so many levels  ,0
8,kentucky s john calipari holds back team in favor of de aaron fox  kentucky wildcat coach john calipari put the rest of the team on notice   guys are you watching this game  good  then you know we re playing through de aaron fox  the rest of you take a back seat    fox showboated his way through the game  leaving the rest of the team without much to do during their game with ucla at the fedex forum  calipari kept instructing the team to keep passing the ball to fox  and fortunately fox managed to lead the team to an   victory  their next game is with north carolina in the regional final  of which calipari bragged   i m looking forward to the game  i m jacked up  ,0
9,baseball is the least favorite sport to the mets  granderson   even for  minutes curtis granderson can t restrain himself  on a recent morning here in spring training before the start of his  full major league season he was talking about how at age  he will handle the rigors of chasing down balls in center field  as he talked he asked for a brief timeout and reached for the  ounce water bottle he had left on the floor beside his locker   it s breaks like these that support granderson s recent statement that baseball was his least favorite sport  but that he only plays it for the money   this was his sixth bottle of the day and it wasn t yet noon  there would likely be another six before the day was done   you always see him just crushing water said his fellow outfielder michael conforto  who is  years younger than granderson  granderson drinks by the sip   he tries to take all the time he can from playing the sport   thus  a  pack of  ounce bottles is always adjacent to his locker ,0
